PFAS,SMILES,System,initial photoinitiator concentration,initial PFAS concentration,pH,temperature,contact time,UV,HA,TOC,Ccl,Cphosphate,"CNO3
(mM)",CHCO3,CSO4,CCO3,k
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,10,24,6,,2.5,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,10,24,7,,2.5,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,10,24,8,,2.5,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,20,10.3,25,24,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,38.7,9.2,25,0.17,200,,,,,,,,,27.3
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,20,160,10,20,6,253.7,,,,,,,,,2.46
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,0.56
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,12,,8,254,,,,,,,,,4.38
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,4,20,,21,48,230,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/indole,,24,6,,8,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,9,21,24,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,11,21,24,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,12,21,24,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,10,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,25,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,50,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,50,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,100,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,150,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,11.25,21,24,254,,,855,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,11.25,21,24,254,,,1709,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,855,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,1709,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,0.5,254,,,,5,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,5,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,12.5,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,25,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,,,,,5,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,,,,,12.5,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,,,,,25,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,2,254,,,,,1,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,4,254,,,,,1,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,,1,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,,2,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,20,24.15,10,21,24,254,,,,,2,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,30,24.15,10,21,24,254,,,,,2,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,,5,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,24.15,10,21,24,254,,,,,12.5,,,,
PFBA,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,10,46,7,,2.5,254,,,,,,,,,0.078
PFHxA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,10,31.9,7,,2.5,254,,,,,,,,,0.066
TFA,O=C(O)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,0.15
PFPrA,O=C(O)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,0.66
PFBA,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,0.4
PFPeA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,0.7
PFHxA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,0.57
PFHpA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,0.52
PFNA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,0.89
PFDA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,
PFUdA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,
TFA,O=C(O)C(F)(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,3.44
PFPrA,O=C(O)C(F)(F)C(F)(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,5.14
PFBA,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,7.16
PFPeA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,6.63
PFHxA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,5.78
PFHpA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,5.69
PFNA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,12,20,8,254,,,,,,,,,5.05
C1 PFdiCA,O=C(O)C(F)(F)C(=O)O,UV/S,10,25,12,20,8,254,,,,,,,,,
C2 PFdiCA,O=C(O)C(F)(F)C(F)(F)C(=O)O,UV/S,10,25,12,20,8,254,,,,,,,,,
