pathway_id,step_id,substrate_smiles,product,product_smiles,"initial PFAS concentration
(μM)",pH,"temperature
(℃)",system,UV(nm),organic matter content（％）,cation exchange capacity（cmol/kg）,TP(mg/g),TN(mg/g),TOC(mg/g),moisture content(％),TTS(g/L),sludge_volume(mL),DO(mg/L),reaction time(d)
PFHxS-1,1,FC(C(F)(C(F)(C(F)(C(F)(C(S(=O)(O)=O)(F)F)F)F)F)F)(F)F,C5HF11O3S,FC(C(F)(F)F)(F)C(C(C(F)(F)S(=O)(O)=O)(F)F)(F)F,12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-1,2,FC(C(F)(F)F)(F)C(C(C(F)(F)S(=O)(O)=O)(F)F)(F)F,C4HF9O3S,FC(F)(C(F)(F)C(F)(F)C(F)(S(=O)(O)=O)F)F,12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-1,3,FC(F)(C(F)(F)C(F)(F)C(F)(S(=O)(O)=O)F)F,C3H3F3O5S,FC(F)(S(=O)(O)=O)C(F)C(O)=O,12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-2,1,FC(S(=O)(O)=O)(C(C(O)=O)F)F,C2H3F3O4S,OC(F)C(F)(S(=O)(O)=O)F,12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-2,2,FC(S(=O)(O)=O)(C(C(O)=O)F)F,C3HF3O2,FC(F)C(F)C(O)=O,12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-2,4,FC(F)(O)C(F)C(O)=O,C2H4O3,[H]C([H])(C(O)=O)O,12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-2,5,OC(F)C(F)(S(=O)(O)=O)F,C2H4O3,[H]C([H])(C(O)=O)O,12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-3,1,FC(C(F)(C(F)(C(F)(C(F)(C(S(=O)(O)=O)(F)F)F)F)F)F)(F)F,C6H11FO3,[H]C(C([H])(C([H])(C(O)(F)[H])[H])[H])(C(C(O)=O)[H])[H],12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-3,2,FC(C(F)(F)F)(F)C(C(C(F)(F)S(=O)(O)=O)(F)F)(F)F,C6H11FO3,[H]C(C([H])(C([H])(C(O)(F)[H])[H])[H])(C(C(O)=O)[H])[H],12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-3,3,[H]C(C([H])(C([H])(C(O)(F)[H])[H])[H])(C(C(O)=O)[H])[H],C2H2O4,OC(C(O)=O)=O,12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-3,4,FC(F)(C(F)(F)C(F)(F)C(F)(S(=O)(O)=O)F)F,C5H10O3,[H]C(C([H])(C([H])(C(O)([H])[H])[H])[H])(C(O)=O)[H],12.5,,25,IR/HOCCO-,,,,,,,,,,,
PFHxS-3,5,[H]C(C([H])(C([H])(C(O)([H])[H])[H])[H])(C(O)=O)[H],C2H2O4,OC(C(O)=O)=O,12.5,,25,IR/HOCCO-,,,,,,,,,,,
GenX-1,1,FC(F)(C(F)(F)C(F)(F)O[C@](C([O-])=O)(F)C(F)(F)F)F,C3F7OH,FC(C(F)(F)C(F)(O)F)(F)F,160,10,,UV/SO32-,253.7,,,,,,,,,,
GenX-1,2,FC(C(F)(F)C(F)(O)F)(F)F,CF3CF2COF,FC(C(F)(F)C(F)=O)(F)F,160,10,,UV/SO32-,253.7,,,,,,,,,,
GenX-1,3,FC(C(F)(F)C(F)=O)(F)F,C2F5COO-,FC(C(F)(F)C([O-])=O)(F)F,160,10,,UV/SO32-,253.7,,,,,,,,,,
GenX-1,4,FC(C(F)(F)C([O-])=O)(F)F,CO2,C(=O)=O,160,10,,UV/SO32-,253.7,,,,,,,,,,
GenX-1,5,FC(C(F)(F)C([O-])=O)(F)F,CF3CFO,FC(C(F)=O)(F)F,160,10,,UV/SO32-,253.7,,,,,,,,,,
GenX-1,6,FC(C(F)=O)(F)F,CF3COO-,FC(C([O-])=O)(F)F,160,10,,UV/SO32-,253.7,,,,,,,,,,
GenX-1,7,FC(C(F)(F)C([O-])=O)(F)F,CF3H2COO-,FC(C([H])([H])C([O-])=O)(F)F,160,10,,UV/SO32-,253.7,,,,,,,,,,
GenX-1,8,FC(C([H])([H])C([O-])=O)(F)F,CF3COO-,FC(C([O-])=O)(F)F,160,10,,UV/SO32-,253.7,,,,,,,,,,
GenX-2,1,FC(F)(C(F)(F)C(F)(F)O[C@](C([O-])=O)(F)C(F)(F)F)F,CF3CFOOH-,FC(C(O)([O-])F)(F)F,160,10,,UV/SO32-,253.7,,,,,,,,,,
GenX-2,2,FC(C(O)([O-])F)(F)F,CF3CFO,FC(C(F)=O)(F)F,160,10,,UV/SO32-,253.7,,,,,,,,,,
GenX-2,3,FC(C(F)=O)(F)F,CF3COO-,FC(C([O-])=O)(F)F,160,10,,UV/SO32-,253.7,,,,,,,,,,
TFA,1,FC(F)(F)C([O-])=O,C2HF2O2-,FC([H])(F)C([O-])=O,25,12,20,UV/SO32-,254,,,,,,,,,,
TFA,2,FC([H])(F)C([O-])=O,C2H2FO2-,FC([H])([H])C([O-])=O,25,12,20,UV/SO32-,254,,,,,,,,,,
TFA,3,FC([H])([H])C([O-])=O,C2H3O2-,[H]C([H])([H])C([O-])=O,25,12,20,UV/SO32-,254,,,,,,,,,,
PFPrA-1,1,FC(F)(C(C([O-])=O)(F)F)F,CF3CFHCOO-,FC(F)(C(C([O-])=O)(F)[H])F,250,12,20,UV/SO32-,254,,,,,,,,,,
PFPrA-1,2,FC(F)(C(C([O-])=O)(F)[H])F,CF3CH2COO-,FC(F)(C(C([O-])=O)([H])[H])F,250,12,20,UV/SO32-,254,,,,,,,,,,
PFPrA-2,1,FC(F)(C(C([O-])=O)(F)F)F,CF3COO-,FC(C([O-])=O)(F)F,250,12,20,UV/SO32-,254,,,,,,,,,,
PFPrA-2,2,FC(C([O-])=O)(F)F,C2HF2O2-,FC([H])(F)C([O-])=O,250,12,20,UV/SO32-,254,,,,,,,,,,
PFPrA-2,3,FC([H])(F)C([O-])=O,C2H2FO2-,FC([H])([H])C([O-])=O,250,12,20,UV/SO32-,254,,,,,,,,,,
PFPrA-2,5,FC([H])([H])C([O-])=O,F-,[F-],250,12,20,UV/SO32-,254,,,,,,,,,,
H-PFPrA,2,[H]C(F)(C(C([O-])=O)(F)F)F,C2F3H2COO-,[H]C(F)(C(C([O-])=O)(F)[H])F,250,12,20,UV/SO32-,254,,,,,,,,,,
H-PFPrA,3,[H]C(F)(C(C([O-])=O)(F)[H])F,C2F2H3COO-,[H]C(F)(C(C([O-])=O)([H])[H])F,250,12,20,UV/SO32-,254,,,,,,,,,,
PFOA-1,1,FC(C(F)(C(F)(C(F)(C(F)(C(C(C([O-])=O)(F)F)(F)F)F)F)F)F)(F)F,C7F13O2-,FC(F)(F)C(F)(C(F)(C(F)(C(C(C([O-])=O)(F)F)(F)F)F)F)F,25,12,20,UV/SO32-,254,,,,,,,,,,
PFOA-1,2,FC(F)(F)C(F)(C(F)(C(F)(C(C(C([O-])=O)(F)F)(F)F)F)F)F,C6F11O2-,FC(F)(C(F)(C(C(C([O-])=O)(F)F)(F)F)F)C(F)(F)F,25,12,20,UV/SO32-,254,,,,,,,,,,
PFOA-2,1,FC(C(F)(C(F)(C(F)(C(F)(C(C(C([O-])=O)(F)F)(F)F)F)F)F)F)(F)F,C8F14O2-,FC(C(F)(C(F)(C(F)(C(F)(C(C(C([O-])=O)([H])F)(F)F)F)F)F)F)(F)F,25,12,20,UV/SO32-,254,,,,,,,,,,
H-PFPA-1,1,[H]C(C(F)(C(F)(C(F)(C(F)(C(C(C([O-])=O)(F)F)(F)F)F)F)F)F)(F)F,,[H]C(C(F)(C(F)(C(F)(C(F)(C(C(C([O-])=O)([H])F)(F)F)F)F)F)F)(F)F,25,12,20,UV/SO32-,254,,,,,,,,,,
H-PFPA-2,3,FC(F)(C(F)(C(C(C([O-])=O)(F)F)(F)F)F)C(F)([H])F,,FC(F)(C(C(C([O-])=O)(F)F)(F)F)C(F)([H])F,25,12,20,UV/SO32-,254,,,,,,,,,,
H-PFPA-2,4,FC(F)(C(C(C([O-])=O)(F)F)(F)F)C(F)([H])F,,FC(C(C([O-])=O)(F)F)(F)C(F)([H])F,25,12,20,UV/SO32-,254,,,,,,,,,,
H-PFPA-2,5,FC(C(C([O-])=O)(F)F)(F)C(F)([H])F,,FC(C([O-])=O)(F)C(F)([H])F,25,12,20,UV/SO32-,254,,,,,,,,,,
PFOS-1,1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(O)(F)F)(F)F)(F)F)(F)F,37.2,10,25,UV/SO32-,185,,,,,,,,,,
PFOS-1,2,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(O)(F)F)(F)F)(F)F)(F)F,,?C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,37.2,10,25,UV/SO32-,185,,,,,,,,,,
PFOS-1,3,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,37.2,10,25,UV/SO32-,185,,,,,,,,,,
PFOS-1,4,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,37.2,10,25,UV/SO32-,185,,,,,,,,,,
F-53B-1,1,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)([O-])=O,,[O-]C(C(F)(S([O-])(=O)=O)F)(F)F,0.16,10,25,UV/SO32-,253.7,,,,,,,,,,
F-53B-1,2,[O-]C(C(F)(S([O-])(=O)=O)F)(F)F,,FC(C(F)(S(=O)([O-])=O)F)(C([O-])=O)F,0.16,10,25,UV/SO32-,253.7,,,,,,,,,,
F-53B-1,3,FC(C(F)(S(=O)([O-])=O)F)(C([O-])=O)F,,FC(S(=O)([O-])=O)(F)C([O-])=O,0.16,10,25,UV/SO32-,253.7,,,,,,,,,,
HFPO-TeA,1,FC(F)(F)C(C(O[C@](F)(C(F)(F)O[C@](F)(C(F)(O[C@@](F)(C([O-])=O)C(F)(F)F)F)C(F)(F)F)C(F)(F)F)(F)F)(F)F,HFPO-TA,FC(C(C(O[C@@](F)(C(F)(F)F)C(F)(O[C@@](F)(C(F)(F)F)CC([O-])=O)F)(F)F)(F)F)(F)F,0.16,10,25,UV/SO32-,253.7,,,,,,,,,,
HFPO-TeA,2,FC(C(C(O[C@@](F)(C(F)(F)F)C(F)(O[C@@](F)(C(F)(F)F)CC([O-])=O)F)(F)F)(F)F)(F)F,HFPO-DA,FC(C(F)(C(F)(O[C@@](F)(C([O-])=O)C(F)(F)F)F)F)(F)F,0.16,10,25,UV/SO32-,253.7,,,,,,,,,,
HFPO-TeA,3,FC(C(F)(C(F)(O[C@@](F)(C([O-])=O)C(F)(F)F)F)F)(F)F,PFA,FC(C(F)(C([O-])=O)F)(F)F,0.16,10,25,UV/SO32-,253.7,,,,,,,,,,
HFPO-TeA,4,FC(C(F)(C([O-])=O)F)(F)F,TFA,FC(C([O-])=O)(F)F,0.16,10,25,UV/SO32-,253.7,,,,,,,,,,
HFPO-TeA-1,1,FC(F)(F)C(C(O[C@](F)(C(F)(F)O[C@](F)(C(F)(O[C@@](F)(C([O-])=O)C(F)(F)F)F)C(F)(F)F)C(F)(F)F)(F)F)(F)F,,FC(F)(F)C(C(O[C@](F)(C(F)(F)O[C@](F)(C(F)(OC(C([O-])=O)([H])[H])F)C(F)(F)F)C(F)(F)F)(F)F)(F)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
HFPO-TeA-1,2,FC(F)(F)C(C(O[C@](F)(C(F)(F)O[C@](F)(C(F)(OC(C([O-])=O)([H])[H])F)C(F)(F)F)C(F)(F)F)(F)F)(F)F,,FC(F)(F)C(C(O[C@](F)(C(F)(F)OC([H])([H])C(F)(OC(C([O-])=O)([H])[H])F)C(F)(F)F)(F)F)(F)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
HFPO-TeA-2,1,FC(F)(F)C(C(O[C@](F)(C(F)(F)O[C@](F)(C(F)(O[C@@](F)(C([O-])=O)C(F)(F)F)F)C(F)(F)F)C(F)(F)F)(F)F)(F)F,HFPO-TrA,FC(C(C(OC(C(F)(F)F)(F)C(F)(OC(C(F)(F)F)(F)C([O-])=O)F)(F)F)(F)F)(F)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
HFPO-TeA-2,2,FC(C(C(OC(C(F)(F)F)(F)C(F)(OC(C(F)(F)F)(F)C([O-])=O)F)(F)F)(F)F)(F)F,,FC(C(C(OC(C(F)(F)F)(F)C(F)(OC(C(F)(F)F)([H])C([O-])=O)F)(F)F)(F)F)(F)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
HFPO-TeA-2,3,FC(C(C(OC(C(F)(F)F)(F)C(F)(OC(C(F)(F)F)([H])C([O-])=O)F)(F)F)(F)F)(F)F,,FC(C(C(OC(C(F)(F)F)([H])C(F)(OC(C(F)(F)F)([H])C([O-])=O)F)(F)F)(F)F)(F)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
HFPO-TeA-2,4,FC(C(C(OC(C(F)(F)F)(F)C(F)(OC(C(F)(F)F)([H])C([O-])=O)F)(F)F)(F)F)(F)F,,FC(C(C(OC(C(F)(F)F)(F)C(F)(OC([H])([H])C([O-])=O)F)(F)F)(F)F)(F)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
HFPO-TeA-3,2,FC(C(F)(C(F)(OC(C([O-])=O)(F)C(F)(F)F)F)F)(F)F,,FC(C(F)(C(F)(OC(C([O-])=O)([H])C(F)(F)F)F)F)(F)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
HFPO-TeA-4,1,FC(C(F)(C(F)(OC(C([O-])=O)(F)C(F)(F)F)F)F)(F)F,,FC(F)(C(O)(F)C([O-])=O)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
HFPO-TeA-4,2,FC(F)(C(O)(F)C([O-])=O)F,,FC(C(C([O-])=O)=O)(F)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
HFPO-TeA-4,3,FC(C(C([O-])=O)=O)(F)F,,FC(C([O-])=O)(F)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
HFPO-TeA-4,4,FC(C([O-])=O)(F)F,,FC(O)(F)F,25,9.5,20,UV/SO32-,254,,,,,,,,,,
